name,state,ingredients,calories_per_100g,spice_level,sweet_level,salty_level,sour_level,bitter_level,taste(0/1),prep_time,cook_time,diet_type_veg,diet_type_nonveg,diet_type_fast,diet_type_jain,diet_type_halal,meal_breakfast,meal_brunch,meal_lunch,meal_snack,meal_dinner,course_soup,course_salad,course_appetizer(starter),course_maincourse,course_sidedish,course_dessert,course_beverage,popularity,health_score,clean_name,clean_ingredients,popularity_score,cluster
Nadru Yakhni,Jammu and Kashmir,"lotus stem, yogurt, spices",160,0.5,0.1,0.6,0.3,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,nadru yakhni,lotus stem,0.5,11
Kashmiri Muji Gaad,Jammu and Kashmir,"radish, fish, spices",180,0.6,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,kashmiri muji gaad,radish,0.5,0
Shufta,Jammu and Kashmir,"dry fruits, sugar, spices",300,0.2,0.9,0.1,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.5,shufta,dry fruits,0.9,3
Kashmiri Dum Olav,Jammu and Kashmir,"baby potatoes, spices",170,0.6,0.1,0.7,0.1,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7,kashmiri dum olav,baby potatoes,0.9,10
Methi Chaman,Jammu and Kashmir,"paneer, fenugreek leaves, spices",180,0.5,0.1,0.6,0.2,0.3,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,methi chaman,paneer,0.5,0
Kashmiri Chicken Curry,Jammu and Kashmir,"chicken, yogurt, spices",220,0.7,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kashmiri chicken curry,chicken,0.9,9
Kashmiri Pulao,Jammu and Kashmir,"rice, dry fruits, saffron",260,0.2,0.4,0.3,0.1,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kashmiri pulao,rice,0.9,5
Tsok Wangun,Jammu and Kashmir,"eggplant, tamarind, spices",140,0.6,0.1,0.5,0.4,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8,tsok wangun,eggplant,0.5,10
Kashmiri Kabargah,Jammu and Kashmir,"lamb ribs, milk, spices",280,0.6,0.1,0.8,0.1,0.1,1,60,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5,kashmiri kabargah,lamb ribs,0.9,13
Noon Chai,Jammu and Kashmir,"tea, milk, salt, baking soda",70,0.1,0.2,0.8,0.1,0.2,1,5,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.6,noon chai,tea,0.9,0
Al Yakhn,Jammu and Kashmir,"bottle gourd, yogurt, spices",130,0.4,0.1,0.5,0.3,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,al yakhn,bottle gourd,0.5,10
Zafraan Kokur,Jammu and Kashmir,"chicken, saffron, yogurt",240,0.6,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,zafraan kokur,chicken,0.9,9
Kashmiri Aloo Bukhara Korma,Jammu and Kashmir,"meat, dried plums, spices",260,0.6,0.3,0.7,0.2,0.1,1,25,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6,kashmiri aloo bukhara korma,meat,0.5,13
Muj Chetin,Jammu and Kashmir,"radish, walnut, yogurt",140,0.3,0.1,0.5,0.4,0.2,1,15,5,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,med,0.8,muj chetin,radish,0.5,11
Kashmiri Cheese Kalari,Jammu and Kashmir,"cheese, spices",280,0.4,0.1,0.8,0.1,0.1,1,10,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,kashmiri cheese kalari,cheese,0.9,10
Kashmiri Mutton Kofta,Jammu and Kashmir,"mutton, spices, yogurt",260,0.7,0.1,0.8,0.2,0.1,1,30,40,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6,kashmiri mutton kofta,mutton,0.9,4
Kashmiri Zafrani Chawal,Jammu and Kashmir,"rice, saffron, milk",220,0.1,0.3,0.2,0.1,0.1,1,10,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kashmiri zafrani chawal,rice,0.9,5
Kashmiri Tamatar Chaman,Jammu and Kashmir,"paneer, tomatoes, spices",180,0.5,0.2,0.6,0.3,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,kashmiri tamatar chaman,paneer,0.5,10
Kashmiri Muji Chettin,Jammu and Kashmir,"radish, yogurt, spices",110,0.4,0.1,0.5,0.4,0.1,1,15,5,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,med,0.8,kashmiri muji chettin,radish,0.5,8
Kashmiri Bumboo,Jammu and Kashmir,"quince, spices",160,0.3,0.6,0.4,0.2,0.1,1,20,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.7,kashmiri bumboo,quince,0.5,3
Kashmiri Gustaba,Jammu and Kashmir,"mutton balls, yogurt, spices",280,0.7,0.1,0.8,0.3,0.1,1,40,50,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,kashmiri gustaba,mutton balls,0.9,4
Kashmiri Tchok Wangun,Jammu and Kashmir,"eggplant, tamarind, spices",140,0.6,0.1,0.5,0.4,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8,kashmiri tchok wangun,eggplant,0.5,10
Kashmiri Nadir Monje,Jammu and Kashmir,"lotus stem, gram flour, spices",200,0.5,0.1,0.7,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.7,kashmiri nadir monje,lotus stem,0.9,0
Kashmiri Palak Rogan Josh,Jammu and Kashmir,"spinach, lamb, spices",230,0.7,0.1,0.7,0.2,0.2,1,25,50,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kashmiri palak rogan josh,spinach,0.9,10
Kashmiri Chok Charvan,Jammu and Kashmir,"chicken liver, spices",220,0.8,0.1,0.7,0.1,0.2,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,med,0.6,kashmiri chok charvan,chicken liver,0.5,13
Kashmiri Matar Tsaman,Jammu and Kashmir,"green peas, paneer, spices",180,0.4,0.2,0.6,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,kashmiri matar tsaman,green peas,0.9,10
Kashmiri Harissa,Jammu and Kashmir,"mutton, rice, spices",300,0.6,0.1,0.7,0.1,0.1,1,60,180,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.6,kashmiri harissa,mutton,0.9,4
Kashmiri Wazwan,Jammu and Kashmir,"various meats, spices",280,0.8,0.1,0.8,0.2,0.1,1,120,180,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,kashmiri wazwan,various meats,0.9,13
Kheer Chap,Jammu and Kashmir,"rice, milk, dry fruits, cardamom",240,0.1,0.9,0.1,0.1,0.1,1,20,60,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6,kheer chap,rice,0.9,1
Shufta Kanegech,Jammu and Kashmir,"paneer, dry fruits, sugar syrup",300,0.1,0.9,0.1,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.5,shufta kanegech,paneer,0.9,3
Bamboodh,Jammu and Kashmir,"milk solids, sugar",320,0.1,0.9,0.1,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.4,bamboodh,milk solids,0.9,3
Khubani Ka Meetha,Jammu and Kashmir,"apricots, sugar, cream",220,0.1,0.8,0.1,0.2,0.1,1,20,40,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6,khubani ka meetha,apricots,0.9,3
Makhand'e,Jammu and Kashmir,"flour, sugar, oil",280,0.1,0.8,0.1,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.4,makhand'e,flour,0.5,14
Shermal,Jammu and Kashmir,"flour, milk, sugar, saffron",240,0.1,0.7,0.2,0.1,0.1,1,30,25,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,high,0.5,shermal,flour,0.9,14
Babroo,Jammu and Kashmir,"wheat flour, sugar, oil",260,0.1,0.7,0.2,0.1,0.1,1,20,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,med,0.5,babroo,wheat flour,0.5,14
Katlam,Jammu and Kashmir,"flour, nuts, sugar, ghee",300,0.1,0.8,0.2,0.1,0.1,1,40,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.4,katlam,flour,0.9,14
Ghaar,Jammu and Kashmir,"rice, coconut, cardamom, sugar",260,0.1,0.8,0.1,0.1,0.1,1,30,40,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,med,0.5,ghaar,rice,0.5,1
Til Kulcha,Jammu and Kashmir,"flour, sesame seeds, sugar",280,0.1,0.6,0.3,0.1,0.2,1,25,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,high,0.5,til kulcha,flour,0.9,14
Masala Tchot,Jammu and Kashmir,"flour, spices, oil",220,0.7,0.1,0.6,0.1,0.1,1,20,15,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,high,0.6,masala tchot,flour,0.9,7
Paneer Pakora,Jammu and Kashmir,"paneer, gram flour, spices",280,0.6,0.1,0.7,0.1,0.1,1,15,10,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,paneer pakora,paneer,0.9,0
Nadru Chips,Jammu and Kashmir,"lotus stem, oil, salt",200,0.3,0.1,0.8,0.1,0.1,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.4,nadru chips,lotus stem,0.9,0
Kashmiri Samosa,Jammu and Kashmir,"flour, potatoes, peas, spices",240,0.7,0.1,0.6,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,kashmiri samosa,flour,0.9,7
Monji Hakh Pakora,Jammu and Kashmir,"kohlrabi leaves, gram flour, spices",180,0.6,0.1,0.7,0.2,0.3,1,20,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.7,monji hakh pakora,kohlrabi leaves,0.5,11
Kashmiri Kachori,Jammu and Kashmir,"flour, lentils, spices",260,0.7,0.1,0.6,0.1,0.1,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,kashmiri kachori,flour,0.9,7
Shufta Tiki,Jammu and Kashmir,"potatoes, dry fruits, sugar, spices",220,0.4,0.5,0.5,0.1,0.1,1,25,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.6,shufta tiki,potatoes,0.5,5
Kashmiri Paratha,Jammu and Kashmir,"flour, ghee, salt",280,0.2,0.1,0.6,0.1,0.1,1,20,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.5,kashmiri paratha,flour,0.9,7
Gaev Tchaman Pakora,Jammu and Kashmir,"cheese, gram flour, spices",300,0.6,0.1,0.7,0.1,0.1,1,15,10,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.5,gaev tchaman pakora,cheese,0.9,10
Kashmiri Masala Tsot,Jammu and Kashmir,"flour, poppy seeds, sesame seeds, spices",240,0.6,0.1,0.7,0.1,0.2,1,25,20,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,high,0.6,kashmiri masala tsot,flour,0.9,7
Syun Olav,Jammu and Kashmir,"meat, potatoes, spices",260,0.7,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,syun olav,meat,0.9,13
Mutton Seekh Kebab,Jammu and Kashmir,"minced mutton, spices",280,0.8,0.1,0.7,0.1,0.1,1,40,20,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.5,mutton seekh kebab,minced mutton,0.9,4
Kashmiri Baingan,Jammu and Kashmir,"eggplant, yogurt, spices",160,0.6,0.1,0.6,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,kashmiri baingan,eggplant,0.5,10
Kashmiri Mushroom Curry,Jammu and Kashmir,"mushrooms, spices, cream",180,0.7,0.2,0.6,0.1,0.1,1,15,25,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7,kashmiri mushroom curry,mushrooms,0.5,10
Kashmiri Dal,Jammu and Kashmir,"lentils, spices, ghee",200,0.5,0.1,0.6,0.2,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,high,0.8,kashmiri dal,lentils,0.9,10
Kashmiri Paneer Kofta,Jammu and Kashmir,"paneer, spices, nuts, cream",280,0.6,0.2,0.6,0.1,0.1,1,30,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,kashmiri paneer kofta,paneer,0.9,0
Kashmiri Fish Curry,Jammu and Kashmir,"fish, mustard oil, spices",220,0.7,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,kashmiri fish curry,fish,0.9,13
Kashmiri Malai Kofta,Jammu and Kashmir,"vegetables, cheese, cream, spices",260,0.5,0.3,0.6,0.1,0.1,1,40,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,kashmiri malai kofta,vegetables,0.9,5
Kashmiri Bhuna Ghost,Jammu and Kashmir,"mutton, spices, onions",280,0.8,0.1,0.7,0.2,0.1,1,30,90,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,kashmiri bhuna ghost,mutton,0.9,4
Kashmiri Vegetable Rogan Josh,Jammu and Kashmir,"mixed vegetables, yogurt, spices",180,0.7,0.1,0.6,0.2,0.1,1,25,45,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,kashmiri vegetable rogan josh,mixed vegetables,0.9,10
Sheer Chai,Jammu and Kashmir,"tea, milk, salt, almonds, pistachios",100,0.1,0.2,0.8,0.1,0.2,1,10,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7,sheer chai,tea,0.9,0
Kashmiri Saffron Kehwa,Jammu and Kashmir,"green tea, saffron, nuts",80,0.1,0.3,0.1,0.1,0.2,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.9,kashmiri saffron kehwa,green tea,0.9,11
Gulkand Sharbat,Jammu and Kashmir,"rose petal preserve, water, sugar",120,0.1,0.8,0.1,0.2,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.6,gulkand sharbat,rose petal preserve,0.5,3
Kashmiri Masala Chai,Jammu and Kashmir,"tea, milk, spices",90,0.4,0.3,0.2,0.1,0.1,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7,kashmiri masala chai,tea,0.9,10
Kashmiri Badam Milk,Jammu and Kashmir,"milk, almonds, sugar",140,0.1,0.6,0.1,0.1,0.1,1,15,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7,kashmiri badam milk,milk,0.9,1
Zaffrani Doodh,Jammu and Kashmir,"milk, saffron, sugar",130,0.1,0.7,0.1,0.1,0.1,1,5,15,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7,zaffrani doodh,milk,0.9,3
Kashmiri Lemonade,Jammu and Kashmir,"lemon juice, water, sugar, Kashmiri spices",70,0.3,0.5,0.1,0.6,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.7,kashmiri lemonade,lemon juice,0.5,2
Kashmiri Rose Lassi,Jammu and Kashmir,"yogurt, rose syrup, sugar",120,0.1,0.6,0.2,0.3,0.1,1,10,5,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,high,0.7,kashmiri rose lassi,yogurt,0.9,1
Kashmiri Khatta,Jammu and Kashmir,"tamarind, jaggery, water, spices",90,0.3,0.5,0.1,0.8,0.1,1,15,10,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,med,0.7,kashmiri khatta,tamarind,0.5,2
Teth Tsai,Jammu and Kashmir,"tea, salt, butter",80,0.1,0.1,0.9,0.1,0.2,1,5,10,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.6,teth tsai,tea,0.9,0
Mui Borok,Tripura,"bamboo shoots, pork, spices",220,0.7,0.1,0.8,0.2,0.2,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,mui borok,bamboo shoots,0.9,8
Chakhwi,Tripura,"pork, bamboo shoots, ghost chili",250,0.9,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,chakhwi,pork,0.9,13
Bangwi,Tripura,"rice flour, pork, spices",280,0.6,0.1,0.7,0.1,0.1,1,20,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,bangwi,rice flour,0.9,5
Godok,Tripura,"fish, banana flower, spices",180,0.6,0.1,0.7,0.2,0.2,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,godok,fish,0.9,13
Berma Bwtwi,Tripura,"fermented fish, chili, spices",150,0.8,0.1,0.9,0.3,0.1,1,10,20,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,high,0.5,berma bwtwi,fermented fish,0.9,13
Wahan Mosdeng,Tripura,"pork, bamboo shoots, chili",230,0.8,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,wahan mosdeng,pork,0.9,13
Awandru,Tripura,"mustard leaves, dried fish, spices",120,0.7,0.1,0.8,0.3,0.2,1,15,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,med,0.7,awandru,mustard leaves,0.5,8
Gudok,Tripura,"mixed vegetables, dried fish, spices",140,0.6,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,gudok,mixed vegetables,0.9,10
Bhangui,Tripura,"rice flour, pork fat, spices",300,0.5,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,med,0.4,bhangui,rice flour,0.5,5
Chakhwi Bwthar,Tripura,"chicken, bamboo shoots, ghost chili",220,0.9,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,chakhwi bwthar,chicken,0.9,9
Muya Awandru,Tripura,"bamboo shoots, pork, spices",200,0.7,0.1,0.8,0.2,0.2,1,20,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6,muya awandru,bamboo shoots,0.9,8
Kosoi Bwtwi,Tripura,"snails, bamboo shoots, spices",180,0.6,0.1,0.7,0.2,0.1,1,30,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6,kosoi bwtwi,snails,0.5,0
Pachwi,Tripura,"mixed herbs, chili, fermented fish",100,0.8,0.1,0.8,0.3,0.2,1,15,10,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,high,0.7,pachwi,mixed herbs,0.9,8
Mritika Prohor,Tripura,"rice flour, jaggery, coconut",220,0.1,0.8,0.2,0.1,0.1,1,30,30,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,high,0.6,mritika prohor,rice flour,0.9,1
Kasoi Bai,Tripura,"snails, mixed vegetables, spices",160,0.6,0.1,0.7,0.2,0.1,1,30,40,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.6,kasoi bai,snails,0.5,0
Panch Phoron Tarkari,Tripura,"mixed vegetables, panch phoron spice mix",120,0.5,0.2,0.6,0.2,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,panch phoron tarkari,mixed vegetables,0.9,10
Chingri Malai Curry,Tripura,"prawns, coconut milk, spices",200,0.6,0.3,0.7,0.1,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,chingri malai curry,prawns,0.9,0
Macher Jhol,Tripura,"fish, potatoes, spices",160,0.6,0.1,0.7,0.2,0.1,1,15,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,macher jhol,fish,0.9,13
Shak Bhaja,Tripura,"leafy greens, spices",80,0.4,0.1,0.5,0.2,0.3,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9,shak bhaja,leafy greens,0.9,10
Chanar Jilipi,Tripura,"cottage cheese, sugar syrup",280,0.1,0.9,0.2,0.1,0.1,1,30,20,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,high,0.4,chanar jilipi,cottage cheese,0.9,3
Kheer Puli,Tripura,"rice flour, milk, sugar",220,0.1,0.8,0.2,0.1,0.1,1,30,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5,kheer puli,rice flour,0.9,1
Chingri Bhape,Tripura,"prawns, coconut, mustard paste",180,0.7,0.2,0.7,0.3,0.2,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,chingri bhape,prawns,0.9,13
Shukto,Tripura,"mixed vegetables, bitter gourd, milk",100,0.3,0.2,0.5,0.2,0.6,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8,shukto,mixed vegetables,0.5,11
Lau Ghonto,Tripura,"bottle gourd, lentils, spices",120,0.4,0.2,0.6,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8,lau ghonto,bottle gourd,0.9,0
Morich Chutney,Tripura,"green chilies, spices",60,1.0,0.1,0.7,0.3,0.2,1,10,10,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,high,0.7,morich chutney,green chilies,0.9,8
Bhangui Bwtwi,Tripura,"rice flour dumplings, pork, spices",280,0.6,0.1,0.7,0.1,0.1,1,30,30,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5,bhangui bwtwi,rice flour dumplings,0.9,5
Chingri Malaikari,Tripura,"prawns, coconut milk, spices",200,0.6,0.3,0.7,0.1,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7,chingri malaikari,prawns,0.9,0
Tok Dal,Tripura,"split pigeon peas, raw mango, spices",140,0.5,0.1,0.6,0.7,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8,tok dal,split pigeon peas,0.9,12
Khar,Tripura,"raw papaya, dried fish, spices",120,0.6,0.1,0.8,0.3,0.2,1,20,25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,med,0.7,khar,raw papaya,0.5,8
Muktangan Bwtwi,Tripura,"pork intestines, bamboo shoots, spices",240,0.8,0.1,0.8,0.2,0.1,1,30,45,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,med,0.4,muktangan bwtwi,pork intestines,0.5,13
Chalta Chutney,Tripura,"chalta fruit, sugar, spices",80,0.4,0.6,0.3,0.7,0.1,1,15,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,med,0.7,chalta chutney,chalta fruit,0.5,2
